,title,views
0,"""하이킥 딱히 좋아하지 않는 사람""",1
1,"""짜장면과 깐풍기""",1
2,"""저그 건물 짓는 소리 내면서 돈까스 먹는 남자""",1
3,"""내 주변에서 만나기 싫은 극혐 삼국지 인물 월드컵""",1
4,"""납량특집 공포 사연 낭독회""",1
5,"""'양자역학' 특강 | 제1부 양자역학과 위기의 브라질 사람들""",1
6,"""침공... 어찌하여 목만 오셨소""",1
7,"""원피스 캐릭터 총출동! 원피스 최강자 월드컵 128강~결승""",1
8,"""서울놈들아 약속 장소는 사당으로""",1
9,"""금연과 흡연부스에 대해""",1
10,"""통닭천사 생일 선물 쇼핑""",0
11,"""환장의 호흡, 재넌지원금 팀 '휴먼 폴 플랫' 합방""",1
12,"""은행나무(Ginkgo biloba)를 알아보자""",0
13,"""군대 보급품 월드컵""",1
14,"""나 납치된 거야""",0
15,"""【왕날편】 19/11/11 침착맨은 눈치를 안 보는 게 아닙니다""",0
16,"""【침터뷰/김기열 편】 하이라이트""",0
17,"""빡빡위키 (MBTI였던 것)""",1
18,"""【침X펄X풍 TRPG】 던전월드 5화 - 불타는 세이프마운틴""",0
19,"""고객의 갈망을 해소시키는 지하철 게임 【미니 메트로】""",0
20,"""만델라 효과""",1
21,"""냉라면 빌 게이츠 세트""",0
22,"""침착맨이 수능을 풀면 몇 점을 받을까? 병건수능""",1
23,"""【프렌즈마블】 침얍 vs 공쌍 멸망전 (Full)""",0
24,"""시청자가 알려주는 풋살 설명회""",0
25,"""강동으로 날아온 편지 (고성능 확성기)""",0
26,"""짤막하게 태국 촬영 후기""",0
27,"""들어가고 싶은 원피스 해적단 월드컵""",1
28,"""납량특집 극혐 요괴 월드컵""",1
29,"""마녀의 집 | 제2화 귀신들린 저택에서 살아남는 공포 쯔꾸르 ~끝~""",0
30,"""애니속 최고의 명언 월드컵""",1
31,"""루피, 이제 하차해야...""",1
32,"""전혀 몰라도 입문할 수 있는 침착맨 삼국지 3부""",1
33,"""복날기념 흑삼계탕면""",1
34,"""삼괴권(三壞拳)의 고수를 찾아서""",0
35,"""내 차 관리 쉽게 하기 (feat. 마이클)""",0
36,"""아침 외출 시 짜증나는 상황 월드컵""",1
37,"""【침터뷰/김기열 편】 다재다능한 특채 개그맨""",0
38,"""【침터뷰/윤태진 편】 1부 - 나 미스 춘향이야 (with 배성재 아나운서)""",1
39,"""2020 배도라지 25시간 MT | 5-2부 마피아 게임 (의사연합의 반격)""",0
40,"""쫄병 박정민 배우와 학창시절 이야기""",0
41,"""갈로아 님과 아무 곤충말 대잔치 (라이트버전)""",1
42,"""(혐) 한번은 들어야 하는 이야기""",0
43,"""무슨 말만 해도 웃는 래퍼 펀치넬로 초대석""",1
44,"""【왕날편】 19/09/03 절대 오줌보를 놀라게 해선 안돼""",0
45,"""로제떡볶이가 유행이라고?""",1
46,"""미국식 덮밥""",1
47,"""【침터뷰/뱃사공 편】 호들갑 안 떨려고 호들갑 떠는 사람""",0
48,"""【月刊 침착맨】 11월 하이라이트""",0
49,"""【침&펄】 빠지면 뭔가 서운해! 홍철 없는 홍철팀 음식 월드컵""",1
50,"""'거짓말의 과학' 특강 | 제1부 몸풀기 퀴즈는 쌓인다""",1
51,"""죽지 않는 우기명 드루이드""",0
52,"""【침착맨X주호민】 '냉장고를 부탁해' 요리시간 15분 직촬""",0
53,"""테이블 축구 보드게임""",0
54,"""【침&펄】 두 작가의 본격 상상력 대결! 보드게임 '브레인스톰'""",0
55,"""【침터뷰/윤태진 편】 2부 - 쭉쭉 쏙쏙 쫙쫙  (with 배성재 아나운서)""",1
56,"""엄니(Tusk) 설명회""",0
57,"""【침&펄 | 식욕감퇴 먹방】 쌀떡 vs 밀떡, 떡볶이의 근본은?""",1
58,"""다 못 한 게시판 같이 보기""",0
59,"""【다크 세라핌】 3화 - 페이먼의 얼음성""",0
60,"""지르려는 동생 vs 말리는 오빠""",1
61,"""1700만원 아반떼 vs 4000만원 아반떼""",1
62,"""신기한 과자 시식회""",1
63,"""컵라면 나시고르자브종""",1
64,"""【침펄풍】 감명 깊게 읽은 동화 월드컵""",1
65,"""우승하려면 일단 말부터 놓아야 한다""",0
66,"""버튜버 아이돌 로나로나땅""",1
67,"""멀리서 보면 희극 가까이서 봐도 희극""",0
68,"""침착맨식 유튜브 운영법""",0
69,"""극한의 귀차니즘 발동! 방구석 귀찮은 일 월드컵""",1
70,"""코딩 도전""",1
71,"""【하스스톤/모험】 달라란 침공 3장 하이라이트""",0
72,"""명작(名作) 일본만화 월드컵 32강~결승""",1
73,"""지금 당장 있으면 좋을 과학 기술 월드컵""",0
74,"""그 와중에 밥은 맛있고""",1
75,"""김성모 & 박태준 작가 초대석""",1
76,"""하이큐 딱히 좋아하지 않는 사람""",1
77,"""몸이 고생하면 머리가 나빠진다""",0
78,"""항상 놀 계획을 짜는 게 가장 재밌다""",1
79,"""100만 원을 받는 대신 꼭 해야 되는 일 월드컵""",1
80,"""침펄인물사전 | 4장 이사배 편""",1
81,"""'거짓말의 과학' 특강 | 제2부 노력하지 않았다는 거짓말""",1
82,"""침착맨의 방송세팅을 알아보자""",1
83,"""인공지능과의 연애""",1
84,"""침&펄과 무신사 봄 신상 입어보기""",0
85,"""효녀 탄생""",1
