,title,views
0,"""주변 인물로 삼국지 장수 만들기""",1
1,"""무협지 사조삼부곡(射雕三部曲) 설명회""",1
2,"""【카트라이더】 자강네천 제1회 배도라지 카트 그랑프리""",0
3,"""【침&펄】 한율 달빛유자 수면팩 체험""",0
4,"""차돌짬뽕 청문회""",1
5,"""하이킥 딱히 좋아하지 않는 사람""",1
6,"""1700만원 아반떼 vs 4000만원 아반떼""",1
7,"""돌아온 고마운 최고민수""",1
8,"""계속되는 토크와 야추다이스 대결""",1
9,"""0.55도발 왜 하냐고""",0
10,"""통닭천사의 간장국수""",0
11,"""【리니지】 5월 2일 전면무료화 기념! 본격 체험하기""",0
12,"""【배도라지 LOL 친목회】 5인 심술파티""",0
13,"""블랙로제누들분모자 떡볶이""",0
14,"""【침&펄】 빠지면 뭔가 서운해! 홍철 없는 홍철팀 음식 월드컵""",1
15,"""돌아온 침착한 편식가 - 1화 ""어묵탕"" 편 (完)""",0
16,"""인공지능과의 연애""",1
17,"""복날기념 흑삼계탕면""",1
18,"""인천에 상륙한 실제 미키마우스""",1
19,"""【침&펄】 MBC 새 파일럿 예능 '우리지금만담'""",0
20,"""삼국지 if 월드컵""",1
21,"""사랑의 매""",0
22,"""순두부는 왜 뚝배기에 나와야 하는가?""",1
23,"""대항해시대 2 | 제9화 호민 엑조디아 함대""",0
24,"""하이큐 딱히 좋아하지 않는 사람""",1
25,"""삼국지14: 공손찬전 - 3화 공손 중의 최강공손""",0
26,"""침착맨 냉라면 vs 시청자 요리""",0
27,"""최악의 음식 조합 월드컵""",1
28,"""【침&펄】 구독배지 리뉴얼 대작전""",0
29,"""'히어로의 과학' 특강 | 제2부 하루종일 설명할 수도 있어""",1
30,"""택배 까면서 타로카드 점 보기""",1
31,"""포켓몬 괴담과 검은 닌텐도""",1
32,"""침착맨이 타고 다닐 자동차 쇼핑""",1
33,"""후루룩 후루룩""",0
34,"""최악의 음식 조합 월드컵""",1
35,"""드래곤볼Z 답답한 사람 월드컵""",1
36,"""친구 김희철에게 이제야 사과합니다""",0
37,"""침착맨 띄워서 10단 콤보 넣으러 온 슬리피와 (래퍼)차붐""",0
38,"""켄타우로스에 관한 고찰""",1
39,"""저 멀리 김포에서 음향 고치러 오신 승우아빠 (+스트리머 얼굴 그리기)""",1
40,"""실제 남매가 알아본 남매 패고 싶은 순간 월드컵""",1
41,"""100억쩐을 사수하라! - 모바일 한게임 섯다 신모드 섯둑이""",0
42,"""침착맨 vs 주호민 트리키타워""",0
43,"""【침&펄 디비니티】 4화 - 기지 방어전 (Divinity: Original Sin 2)""",0
44,"""삼국지 대체 역사 소설 월드컵""",1
45,"""소소하게 싸움나는 음식 먹는 방법 월드컵""",1
46,"""모자 쇼핑""",0
47,"""어쩔티비""",1
48,"""점점 전무님의 색깔이 사라지는 옾카페""",0
49,"""【年刊 침착맨】 2020년 엔딩 크레딧""",0
50,"""【침&펄】 네이버 20주년 축전영상 찍기""",0
51,"""대항해시대 4 | 제29화 침의 꿈 ~끝~""",0
52,"""옆에서 밥 먹고 있는데 밥맛 떨어지게 더러운 이야기하기""",1
53,"""블리자드 선물 받자마자 박살낸 침착맨""",0
54,"""밥먹으며 위펄래쉬 이야기""",0
55,"""병건 낚시 4월호""",0
56,"""나 납치된 거야""",0
57,"""넷플릭스 롤 애니메이션 ARCANE 설명회""",0
58,"""'유사과학' 특강 | 제1부 유사과학에 관한 몸풀기 퀴즈""",1
59,"""신개념 사업 구상: 가루 삼겹살""",1
60,"""아이언 원딜 옥냥이를 완벽구현한 라이벌의 등장""",0
61,"""포르쉐 쇼핑""",1
62,"""해리포터 속 최고의 마법물건 이상형 월드컵""",1
63,"""유사과학 월드컵 (이과답답주의)""",1
64,"""【침착맨X주호민】 각종 대머리 총출동! 대머리 캐릭터 월드컵""",1
65,"""【다크 세라핌】 11화 - 마계의 왕""",0
66,"""켄타우로스에 관한 고찰""",1
67,"""독기 가득 충전해온 주호민""",1
68,"""포르쉐 쇼핑""",1
69,"""침&펄 M/V - 그건 아마 우리의 잘못은 아닐거야""",1
70,"""【침따플룩】 모험 '공포의 무덤' 인비테이셔널 1,2장""",0
71,"""2021년 새롭게 태어난 NEW 침착맨""",0
72,"""침착맨 노래방 | '비누방울(아기공룡 둘리 삽입곡)' 외 18곡""",0
73,"""코딩 도전""",1
74,"""살면서 무조건 듣게 되는 소리""",1
75,"""일본을 다녀온 준빈쿤 근황""",0
76,"""블리즈컨2019 & 유니버셜스튜디오 후기 (+LA아리랑 열창)""",0
77,"""한국 마술 공모전 월드컵: 뉴노멀 부문""",1
78,"""리틀 나이트메어 1 | 제3화 깨어난 악몽 ~끝~""",0
79,"""최후의 승자가 진정한 승자""",1
80,"""【침터뷰/신우석 편】 잠은행 감독, 그리고 돌고래유괴단""",0
81,"""아재의 숲 촬영 가서 술 마신 침착맨""",0
82,"""GALAX배 배도라지 전장 으깨기 인비테이셔널 3주차""",0
83,"""침착맨 삼국지 원소전""",1
