,title,category_id,views,likes,dislikes,comments,date
0,침투부 Awards 2020: 올해의 가지무침,24,346804,3496,-,504,2021-01-01T10:00:10Z
1,신축년 노래방 (시청자 신청곡 부르기),10,156113,2220,,504,2021-01-02T10:00:05Z
2,좀비사태 발생시 피신할 장소 월드컵,20,3347864,19136,,1246,2021-01-03T10:00:22Z
3,꼬깔콘 3종 비교 (고소한맛 vs 멘보샤맛 vs 화이타맛),24,555084,5358,,528,2021-01-04T10:00:05Z
4,침&펄 좀비영화 시나리오 쓰기 | 순혈 좀비가 아니면 차별받는 세상,24,735794,7806,,773,2021-01-05T10:00:08Z
5,2021년 새롭게 태어난 NEW 침착맨,24,744008,10732,,1738,2021-01-06T08:00:10Z
6,뜨끈하고 든든한 국밥 월드컵,20,1743801,10586,,1079,2021-01-06T10:00:04Z
7,지맘대로 고르는 마블 캐릭터 월드컵,24,1025170,8751,,1408,2021-01-08T10:00:10Z
8,애니속 최고의 명언 월드컵,1,2885143,21492,,1639,2021-01-10T10:00:05Z
9,꼬북칩과 끝없이 오르는 삼성주가,24,253605,2979,,379,2021-01-11T10:00:03Z
10,명품시계 쇼핑,20,1510105,11777,,1097,2021-01-12T10:00:09Z
11,현실까지 넘어 온 인터넷 신조어 월드컵,24,1340550,9840,,1165,2021-01-13T10:14:08Z
12,침착면의 작은 컵라면 4종 폭식,24,729237,7861,,766,2021-01-15T10:00:07Z
13,공룡이 복사가 된다고,20,257321,3102,,317,2021-01-16T10:00:22Z
14,스릴 넘치는 세계 여행지 월드컵,24,436644,4411,,435,2021-01-17T10:00:13Z
15,침착맨이 제시하는 타코와 나초의 미래,24,418212,4905,,598,2021-01-18T10:00:00Z
16,스트리머 30명 앞에서 노래 부르기,20,183352,2021,,388,2021-01-19T11:22:45Z
17,"패티가 4장, 혈관 파괴 버거킹 스태커4 먹방",24,1708375,13902,,918,2021-01-20T10:00:57Z
18,미식축구와 럭비의 차이점이 뭐야?,24,435975,5155,,504,2021-01-21T10:03:20Z
19,침착맨 팬아트 감상하기,24,315380,4828,,425,2021-01-22T10:00:05Z
20,"침착맨 귓구멍 뚫는 날, 가수 Hynn 박혜원 초대석",24,676461,8357,,1424,2021-01-23T10:00:29Z
21,헤드폰 쇼핑,24,837312,7649,,740,2021-01-24T10:00:11Z
22,연어뱃살동과 가정의 평화,24,604561,6999,,624,2021-01-25T10:00:52Z
23,(몇 년 뒤 사라질지 모르는) 쏘영이가 쓴 소설 읽기,24,573143,10182,,1638,2021-01-26T10:00:05Z
24,요즘 모발 지수와 금연 상황,24,561850,6236,,564,2021-01-28T10:19:51Z
25,말로 업보 쌓다가 천적 만난 침착맨,24,816452,9433,,1724,2021-01-29T10:00:08Z
26,침&펄 | 리틀호프: 다크 픽쳐스 앤솔로지 하이라이트,20,195660,1926,,339,2021-01-30T10:00:01Z
27,자식 먹는 거만 봐도 배부른 아빠,24,2493142,23045,,1785,2021-01-31T10:00:23Z
28,아저씨 대화,24,857423,7495,,607,2021-02-01T10:00:05Z
29,슈퍼카 쇼핑,24,1152888,8723,,949,2021-02-02T10:00:30Z
30,가장 묘사를 잘한 삼국지 일러스트 월드컵,24,614658,4477,,502,2021-02-03T10:00:21Z
31,제네시스 G80 쇼핑,2,1669916,9029,,1665,2021-02-04T10:00:10Z
32,대항해시대 할 자격 있는 사람,20,224033,2148,,366,2021-02-05T10:00:32Z
33,'죽음의 이지선다' 유머 연구가 퍼프대희(구 기린) 초대석,24,156859,2140,,410,2021-02-06T10:00:19Z
34,밍밍한듯 밍밍하지 않은 돈국밥,24,499391,4884,,499,2021-02-07T10:00:14Z
35,침착맨 참교육하러 다시 오신 최고민수 선생님,24,335531,4491,,844,2021-02-08T10:00:07Z
36,'벽을 허물자' 침&펄 나만의 스니커즈 제작하기,24,154306,2006,,477,2021-02-09T10:00:14Z
37,친구 김희철에게 이제야 사과합니다,24,672750,8429,,1051,2021-02-10T12:03:31Z
38,전투기 쇼핑,24,1249645,12146,,1855,2021-02-17T10:00:19Z
39,강동으로 날아온 편지 (고성능 확성기),24,197157,3088,,793,2021-02-18T10:00:38Z
40,명품전문가 염따 님의 Flex 설명회,24,3131379,30062,,3989,2021-02-19T12:13:24Z
41,구찌의자 쇼핑 후기,24,1345280,14072,,1760,2021-02-20T10:00:07Z
42,엄니(Tusk) 설명회,15,833125,7044,,1167,2021-02-21T10:24:14Z
43,안 해요 안 해,20,839780,7443,,718,2021-02-22T10:00:11Z
44,피규어 쇼핑,24,951309,8391,,917,2021-02-23T10:37:20Z
45,그냥콜라 vs 제로콜라,24,996079,7966,,1001,2021-02-24T10:04:53Z
46,주먹을 부르는 버거킹 콩고기버거,24,619270,5874,,714,2021-02-25T10:02:49Z
47,명탐정 침착맨의 국정원 추리 퀴즈 풀기,24,810806,6214,,888,2021-02-26T10:00:07Z
48,배 아픈 침착맨,20,387394,3147,,693,2021-02-27T10:00:30Z
49,지금 당장 있으면 좋을 과학 기술 월드컵,24,579948,3893,,614,2021-02-28T10:13:33Z
50,초밥 먹는데 서순이 있어?,24,760525,5934,,601,2021-03-01T10:00:14Z
51,공포의 삼각함수송,24,392911,3882,,982,2021-03-02T10:00:13Z
52,역전재판 말고 고전재판,20,164029,1202,,222,2021-03-03T10:01:39Z
53,침공... 어찌하여 목만 오셨소,24,1886632,24119,,2842,2021-03-04T10:00:17Z
54,"침착맨, 게임단 감독이 되다",20,254508,2318,,232,2021-03-05T10:00:27Z
55,"원피스 '밀짚모자 일당', 반으로 줄여야...",24,2383637,15939,,3924,2021-03-06T10:03:10Z
56,역대급 난이도 '원피스 1회 지식왕 결정전' 퀴즈 풀기,24,793157,4513,,579,2021-03-07T10:00:08Z
57,시궁쥐 파이터Z 명장 쥐병건,20,187104,1792,,208,2021-03-08T10:32:13Z
58,솔로몬의 72악마 설명회,24,3007742,25080,,2115,2021-03-09T10:00:32Z
59,이런 한자는 왜 있는걸까?,24,595367,6653,,705,2021-03-10T10:01:52Z
60,WPL 프로 포커플레이어 임요환 님에게 포커 배우기,24,657681,6245,,892,2021-03-11T10:01:15Z
61,가장 아름다운 로고 월드컵,24,1703802,14630,,1335,2021-03-12T10:00:16Z
62,서울놈들아 약속 장소는 사당으로,24,1140673,10577,,1339,2021-03-13T10:00:17Z
