,description,views
0,"【침&펄】 한율 달빛유자 수면팩 체험
▶침착맨의 【일상재롱 영상】 모음: https://goo.gl/OJ4Uoa

▶침투부 영상에 자막 달기 (감사합니다) : https://bit.ly/2OJDF8O
▶침투부 인기동영상 :  http://goo.gl/i7Uqj1
▶침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner",0
1,"【식욕감퇴 먹방】 17,900원짜리 도시락 vs 뜨끈~한 국밥
주호민 작가님이 보내주셨습니다. 잘 먹었습니다.

불고기브라더스
-버섯불고기 도시락: 17,900원

▶침착맨의 【식욕저하 다이어트 먹방】 영상 모음: https://goo.gl/eUvjNe

▶침투부 영상에 자막 달기 (감사합니다) : https://bit.ly/2OJDF8O
▶침투부 인기동영상 :  http://goo.gl/i7Uqj1
▶침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner

▶편집자: 김태완 (2호 침투부수호자)
▶2019년 8월 13일 방송분",0
2,"함부로 추측하지마! 탈룰라 가득 【추억의 식당 이야기】
게임 제목은 【추억의 식당 이야기】입니다.

▶침착맨의 【짧게 한 게임들】 영상 모음: https://www.youtube.com/playlist?list=PLif_jr7pPZACiQw3uIILLjASbbGKOS-u2

재밌는 부분은 댓글로 제보해 주시면 하이라이트 영상에 반영하겠습니다. 감사합니다.

▶침투부 영상에 자막을 달고 싶으시다면? : https://bit.ly/2OJDF8O

▶침투부 인기동영상 :  http://goo.gl/i7Uqj1
▶침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner

▶2019년 5월 30일 방송분

▶편집자: 3대 침투부수호자",0
3,"【식욕감퇴 먹방】 새롭게 선보이는 자린고비 취식법
포켓샐러드 - 훈제오리 샐러드 : 5,300원

▶침착맨의 【식욕저하 다이어트 먹방】 영상 모음: https://goo.gl/eUvjNe

▶침투부 영상에 자막 달기 (감사합니다) : https://bit.ly/2OJDF8O
▶침투부 인기동영상 :  http://goo.gl/i7Uqj1
▶침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner

▶편집자: 장효범 (6호 침투부수호자)
▶2019년 10월 25일 방송분",0
4,"외국인 빙의한 Mr.Chim
▶침착맨의 【하스스톤/전장】 모음: https://www.youtube.com/playlist?list=PLif_jr7pPZAByJnTvXpnI-WMc7HsQWL5x&disable_polymer=true

▶침투부 영상에 자막 달기 (감사합니다) : https://bit.ly/2OJDF8O
▶침투부 인기동영상 :  http://goo.gl/i7Uqj1
▶침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner

▶편집자 : 전수만 (4호 침투부수호자)
▶2019년 12월 4일 방송분",0
5,"【토탈워: 삼국】 제갈량이었던 내가 이세계에선 하후무?!
▶침착맨의 【짧게 한 게임들】 영상 모음: https://www.youtube.com/playlist?list=PLif_jr7pPZACiQw3uIILLjASbbGKOS-u2

재밌는 부분은 댓글로 제보해 주시면 하이라이트 영상에 반영하겠습니다. 감사합니다.

▶침투부 영상에 자막을 달고 싶으시다면? : https://bit.ly/2OJDF8O

▶침투부 인기동영상 :  http://goo.gl/i7Uqj1
▶침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner

▶2019년 5월 24일 방송분

▶편집자: 3대 침투부수호자",0
6,"【침착맨X쏘영이】 색깔얼음 만들기
♨쏘영이와 함께한 영상 모음: https://goo.gl/ik6II3

보시다가 재밌는 부분은 댓글로 제보해 주시면 하이라이트 영상에 반영하겠습니다. 감사합니다.

침투부 인기동영상 :  http://goo.gl/i7Uqj1
침착맨 유투부 구독하기 :  http://goo.gl/wzc7Ib
침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner

2019년 2월 9일 방송분

편집자: 2대 침투부수호자",0
7,"【침착맨】 중학생이 된 원우찬(비타찬) 군 초대석
♨침착맨의 【일상재롱 영상】 모음: https://goo.gl/OJ4Uoa

보시다가 재밌는 부분은 댓글로 제보해 주시면 하이라이트 영상에 반영하겠습니다. 감사합니다.

침투부 인기동영상 :  http://goo.gl/i7Uqj1
침착맨 유투부 구독하기 :  http://goo.gl/wzc7Ib
침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner

2019년 2월 21일 방송분

편집자: 3대 침투부수호자",0
8,"【팬게임:병거니우스의 대모험】 1화 - 모험의 시작
댕댕좌 님이 만들어주셨습니다.
감사합니다. 재밌게 게임했어요.

♨댕댕좌 님의 【팬게임:병거니우스의 대모험】 다운로드: https://cafe.naver.com/zilioner/1723

♨침착맨의 【침X펄X풍 TRPG】 영상 모음: https://goo.gl/uf3NBK
♨침착맨의 【병거니우스의 대모험】 게임영상 모음: https://goo.gl/rdx8jK

보시다가 재밌는 부분은 댓글로 제보해 주시면 하이라이트 영상에 반영하겠습니다. 감사합니다.

침투부 인기동영상 :  http://goo.gl/i7Uqj1
침착맨 유투부 구독하기 :  http://goo.gl/wzc7Ib
침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner

2019년 1월 28일 방송분

편집자: 3대 침투부수호자",0
9,"【침착맨X쏘영이】 은박지에 예쁜 그림 그리기
♨쏘영이와 함께한 영상 모음: https://goo.gl/ik6II3

보시다가 재밌는 부분은 댓글로 제보해 주시면 하이라이트 영상에 반영하겠습니다. 감사합니다.

침투부 인기동영상 :  http://goo.gl/i7Uqj1
침착맨 유투부 구독하기 :  http://goo.gl/wzc7Ib
침착맨 트위치 실시간방송 :  http://www.twitch.tv/zilioner

2019년 4월 1일 방송분

편집자: 2대 침투부수호자",0
