,title,views
0,"""'로켓 과학' 특강 | 제1부 비둘기부터 로켓까지""",1
1,"""월드컵 속의 월드컵, 무엇이 더 고르기 힘들까? 황금 밸런스 월드컵""",1
2,"""(함부로 먹지)마라탕""",0
3,"""침착한 편식가 - 1화 ""롤"" 편 (完)""",0
4,"""【침착맨】 낯빛이 어둡다구요? 본격 세팅 방송""",0
5,"""나만의 특이한 물건 자랑하기""",1
6,"""올드보이처럼 15년 동안 갇혀서 한 음식만 먹는다면? 월드컵""",1
7,"""한복 쇼핑""",0
8,"""켄타우로스에 관한 고찰""",1
9,"""【침터뷰/김성모 편】 하이라이트""",0
10,"""뽀뽀누나 박선영 & 방버지 배성재 초대석""",1
11,"""전장 도장깨기 「침착맨 vs 플러리」""",0
12,"""햇반 컵반 김치날치알밥 & 튀김우동""",0
13,"""외우기 쉬운 포켓몬(Pokémon) 상성 설명회""",0
14,"""쿠키런: 킹덤 10억 감사제 침vs펄 창작쿠키 대결""",0
15,"""원피스 '밀짚모자 일당' NEW 구조조정안""",1
16,"""【마블삼국지】 8화 - 촉나라 생활기""",0
17,"""꼴찌가 구독권 쏘기, 처절한 풍철옥침 마리오 파티""",0
18,"""단, 한 명의 마피아를 찾아라 (배도라지 마피아)""",0
19,"""침착맨의 동네에는 무엇이 있을까? 행당동 산책""",0
20,"""생로병건의 비밀 ~3일간의 배뇨일지~""",0
21,"""배도라지 포트리스 - 옥냥아 제발 위치 바꾸는 거 쓰지마""",0
22,"""2019 쏘학능력시험 - 과학영역 (※과잉지식 주의)""",0
23,"""어느 것이 더 검색 됐을까?""",1
24,"""【침X펄 빙고】 나의 감성지수는? 예술충 빙고""",0
25,"""남캠맨""",1
26,"""끝나지 않는 최고민수 선생님의 참교육""",0
27,"""밍밍한듯 밍밍하지 않은 돈국밥""",0
28,"""아케인 (Arcane, 2021) 감상회""",0
29,"""주식 하나도 모르는 침착맨의 주식 이론""",1
30,"""【침착맨】 한 통의 전화가 굴려버린 스노우볼 (※짜증주의)""",0
31,"""자식을 열받게 하는 아빠가 있다??""",0
32,"""편식맨이 뽑은 최고의 음식조합 월드컵""",1
33,"""【침&펄】 1년 전부터 묵힌 택배들 개봉기 (+포켓몬 DLC 이야기)""",0
34,"""친구 김희철에게 이제야 사과합니다""",0
35,"""나비 아저씨와 농구공 - 모여봐요 동물의 숲 5화""",0
36,"""침펄풍, 표현 못하면 수치심에 몸부림치는 혈전 - 쿵야 캐치마인드""",0
37,"""명절에 늦게 온 통천""",1
38,"""고양이 애호가 심윤수 작가님과 전화통화""",0
39,"""침착맨 노래방 | '양화대교'""",0
40,"""밀린 택배 까기 (어린이날에 선물 받아 신난 침&펄)""",0
41,"""이제는 사라진 양심자전거""",0
42,"""최현우 마술쇼 미등록""",0
43,"""'유사과학' 특강 | 제2부 유사과학과 빌게이츠 사위 삼기""",1
44,"""침&펄 제주도 산책 야방""",0
45,"""【왕날편】 19/09/29 멍청한 침착맨은 꿈도 못 꿉니다""",0
46,"""밥먹으며 위펄래쉬 이야기""",0
47,"""【침펄풍】 세상은 넓다! 가고 싶은 여행지 월드컵""",1
48,"""90년대 애니 여캐 둘러보기""",0
49,"""돌아온 침투부 인트로 월드컵""",0
50,"""침착맨식 포켓몬스터 작명법""",0
51,"""애니 속 최강의 기술을 찾는다! 애니 속 기술 월드컵""",0
52,"""여행 유튜버, 좋좋소 감독 빠니보틀 초대석""",1
53,"""【침터뷰/도티 편】 2부 - 도티 vs 띠또 솔루션 제안""",0
54,"""라텍스 수제비""",0
55,"""수요 없는 공급""",1
56,"""대항해시대 2 | 제15화 마지막 이야기 ~끝~""",0
57,"""블리자드, 돈 벌려면 이래야 한다""",0
58,"""그동안 알고 있었던 영어는 잊어라""",0
59,"""침착맨의 MBTI(성격유형검사) 결과는?""",1
60,"""먹으면 웃음이 절로 나오는 군대리아 세트""",0
61,"""【왕날편】 20/01/14 할 수 있는 것만 하자""",0
62,"""(대충 열받는 영상)""",0
63,"""친구끼리 투명레이어 맨투맨 맞춰 입기""",0
64,"""MT의 꽃 마피아""",0
65,"""40대 아저씨들의 내기""",0
66,"""예비 아빠 김풍 작가님 육아용품 쇼핑""",1
67,"""천하제일 핵노맛 채소 월드컵""",1
68,"""침착맨의 뿌리를 찾아서 | 2화 익산 편""",0
69,"""침착맨의 방송세팅을 알아보자""",1
70,"""【침&펄】 MBC '침착한 주말'이 끝나고""",0
71,"""대왕연어 초밥과 새우 튀김""",0
72,"""냉라면 빌 게이츠 세트""",0
73,"""파랜드 택틱스 | 제12화 검은 날개의 불꽃 마법""",0
74,"""【식욕감퇴 먹방】 쏘영마미와 점심 햄버거""",1
75,"""G80으로 부산까지""",0
76,"""빡빡위키 (MBTI였던 것)""",1
77,"""침착맨 노래방 | 신현규, 박사준, 김기동 지인 특집 '졸업' 외 23곡""",0
78,"""침착맨 자낳대 참전, 새 친구를 찾아보자""",0
79,"""세트 속성 강의받고 스크림에 실전 투입하기""",0
80,"""가장 모에한 강아지를 뽑아라! 강아지 월드컵""",0
81,"""이건 못 참아""",0
82,"""침펄풍 해외 여행기 (오키나와, 벨기에, 이탈리아)""",0
83,"""쏘영이랑 만든 검은바위산 브라우니""",0
84,"""【먹어는 드립니다 시즌4】 맛없게 먹는 다섯 남자의 술먹방 토크쇼""",0
85,"""【침착맨】 닌텐도 스위치 체험하기 (feat. 2대침수자)""",0
86,"""【다크 세라핌】 8화 - 석상 바호멧""",0
87,"""5억 년 버티고 천만 원 받기 vs 그냥 살기""",1
88,"""침착한 조커 (팬메이드 영상)""",0
89,"""【침&펄】 네이버 20주년 기념선물 개봉식""",0
90,"""배도라지 시빌워 (침착맨의 PPT)""",0
91,"""파랜드 택틱스 | 제21화 지하 신전""",0
92,"""새우 꼬다리가 플라스틱이라고요? (with 뱃사공)""",0
93,"""【침터뷰/배성재 편】 3부 - 사진으로 말해요""",0
94,"""안 해요 안 해""",0
95,"""평균 나이 39.9세 아재들의 롤 잔치 | 7080 TSM""",0
96,"""침착맨의 오목은 전설이다?""",0
97,"""내가 못한다고? 시청자 시켜봤더니...【눈사람 만들기 게임】""",0
98,"""【살육의천사】 EP.1 기억상실의 소녀... 그것이 알고싶다""",0
99,"""침착곤충기 - 효열문 개미아파트 (+몰래 온 손님)""",0
100,"""키위 괴담 설명회""",0
101,"""침착맨의 뿌리를 찾아서 | 1화 전주 편""",0
102,"""nan""",0
103,"""침착맨과 영화 같이 보기: 조조 래빗 & 노인을 위한 나라는 없다""",0
104,"""연어뱃살동과 가정의 평화""",0
