,title,views
0,"""【침착맨X매직박】 각양각색 매직박의 향연, 매직박 월드컵""",0
1,"""【침펄풍】 틈만 나면 책상에 개짓거리하던 학창시절 공감이야기""",0
2,"""캡틴 아메리카: 윈터 솔저 (Captain America: The Winter Soldier, 2014) 감상회""",0
3,"""【침착맨X주호민】 '냉장고를 부탁해' 요리시간 15분 직촬""",0
4,"""【오버쿡드! - 침X펄】 뒷목식당 구의동 버거형제 #1""",0
5,"""페퍼로니 피자와 피카츄 회""",0
6,"""네이버 인기웹툰, 【열렙전사】가 모바일게임으로 나왔다""",0
7,"""【침펄풍】아재들이 추는 저스트댄스 Sugar""",0
8,"""이건 못 참아""",0
9,"""주호민 칭따오 CF에 관련된 숨은 뒷배경 (말년만 빼고)""",0
10,"""(몇 년 뒤 사라질지 모르는) 쏘영이가 쓴 소설 읽기""",0
11,"""【모바일 한게임 섯다】 신규 업데이트 '토너먼트' 정복하기""",0
12,"""침착맨 노래방 | 침&쏘맘 - 코인노래방 '일과 이분의 일' 외 29곡""",0
13,"""거울치료""",0
14,"""G식백과 김성회 님 트로피 제작 & 수여식""",0
15,"""(함부로 먹지)마라탕""",0
16,"""홍진호 본인이 설명해주는 홍진호 월드컵""",0
17,"""7번방의 선물 (Miracle in Cell No.7, 2013) 감상회""",0
18,"""배성재X침착맨 불암산 뽀개기""",0
19,"""전장 도장깨기 「침착맨 vs 따효니」""",0
20,"""침착곤충기 - 효열문 개미아파트 (+몰래 온 손님)""",0
21,"""【왕날편】 19/09/29 멍청한 침착맨은 꿈도 못 꿉니다""",0
22,"""함부로 추측하지마! 탈룰라 가득 【추억의 식당 이야기】""",0
23,"""드래곤볼(Dragon Ball) 설명회""",1
24,"""알쏭달쏭~? 극혐 맞춤법 월드컵""",0
25,"""침착맨 노래방 | 침&쏘맘 - '그대 안의 블루' 외 11곡""",0
26,"""하루 15개만 판다는 오코노미야끼 버거""",0
27,"""삼국지14: 공손찬전 - 4화 목표는 원소""",0
28,"""자식 이기는 부모가 있다?!""",1
29,"""가수 기린 & 방송작가 조혜정 초대석""",0
30,"""케밥을 먹으며 다양한 잡담""",0
31,"""【침&펄】 맥도날드 먹으면서 광고촬영 후기""",0
32,"""지각은 왜 하는가?""",0
33,"""【하스스톤/전장】 갖가지 재료를 한데 모아 비볐습니다""",0
34,"""털보 한 번 믿어주십쇼""",0
35,"""만두콘은 이왕걸을 슬프지 않게 하려고 버텼다""",0
36,"""아이언2 임세모 훈련시키는 지옥에서 온 침&펄 교관 - 롤사관학교""",0
37,"""연애 성공률이 높은 상황 월드컵""",0
38,"""Q. 월트 디즈니는 어떤 사람이었을까요?""",0
39,"""베놈 & 스파이더맨""",0
40,"""두 사람이 AI세상을 대처하는 자세""",0
41,"""【침X펄이 간다!】 '신과함께 포스터' 직접배송 이벤트 개최""",0
42,"""롤 내전할 사람 타세요""",0
43,"""농구실력과 모근량의 상관관계""",0
44,"""녹차 먹인 돼지로 만든 버거""",0
45,"""페퍼로니 피자와 함께하는 영화 이야기""",0
46,"""침착맨 노래방 | 추석 특집 '순정' 외 10곡""",0
47,"""【침펄풍 | 식욕감퇴 먹방】 평균나이 39세,  우리 동년배들 이렇게 생일축하합니다""",0
48,"""새우 꼬다리가 플라스틱이라고요? (with 뱃사공)""",0
49,"""침펄곤충기 - 끝없는 개미떼 행렬의 충격적인 정체""",0
50,"""침착맨은 너무 졸려""",0
51,"""블리자드 선물 받자마자 박살낸 침착맨""",0
52,"""침착맨의 동네에는 무엇이 있을까? 행당동 산책""",0
53,"""【침착맨X매직박】 소닉 낙법으로 의자 조립하기""",0
54,"""넷플릭스 롤 애니메이션 ARCANE 설명회""",0
55,"""대항해시대 4 | 제29화 침의 꿈 ~끝~""",0
